*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure,Is Batch Tracked
10% 7 days,"Invoice is paid within 7 days, 10% discount applied to account.",,10% 7 days,,,,,,,Order Quantity,Order Quantity,,,,0.0000,,,0.0000,0.0000,,,,,,,,,,,,,,,,,0.0000,,,False,False,Yes,Misc,,,,,,,,,,No,No,No,Yes,No,,No
10KRD24SIZEO1/2,10k WG Band with Baguette Cut Diamonds 22D = 0.50ct  Size O1/2.,,10KRD24SIZEO1/2,Each,,,,,,Order Quantity,Order Quantity,DIVYA,Divya,ER12,0.0000,,,1544.9100,1297.7200,4325.7400,,1544.9100,1467.6600,1390.4200,,,,,1544.9100,,,,1.000,,,0.0000,,,False,False,No,Diamond Rings,,,,,,,,,,No,No,No,Yes,Yes,Each,No
14KCR001,14k Onyx Cross Pnd,,14KCR001,Each,,,,,,Order Quantity,Order Quantity,UNKNOWN,Unknown,1950,,,,244.6400,205.5000,684.9900,,244.6400,232.4100,220.1800,,,,,244.6400,,,,555.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Coloured Stone Pendants,,,,,,,,,,No,No,Yes,No,No,Each,No
14KCR898,14k YG Round Tube (Salami Cut) Crucifixion Pendant 32x22mm.,14k Yellow Gold Round Tube (Salami Cut) Crucifixion Pendant 32x22mm - 9KCR885 |CR885,14KCR898,Each,,,,,,Order Quantity,Order Quantity,LOTUS,Lotus,LT 1706023-13,102.7380,,,480.9000,403.9600,1346.5200,,480.9000,456.8600,432.8100,,,,,480.9000,,1.750,,555.000,20.000,,194.8770,2.100,,False,False,No,Religious Pendants,,,,,,,,,,No,No,No,Yes,Yes,Each,No
14KDBA206,14k WG Claw Set Solid Bangle with two figure eight safety catch...Set with 33 Brilliant Cut Diamonds = Approx 0.63ct..Color: F-H..Clarity:  VS - SI..Total Approx Weight: 13.10g..Bangle size:  60.5mm as per CAD drawing,,14KDBA206,Each,,,,,,Order Quantity,Order Quantity,DIVYA,Divya,AsperCADdrawing,,,,3529.0700,2964.4200,9881.4000,,3529.0700,3352.6200,3176.1600,,,,,3529.0700,,,,1.000,,,0.0000,,,False,False,No,Diamond Bangles,,,,,,,,,,No,No,No,Yes,Yes,Each,No
14KDP099,14k RG Alloy Diamond Pear Shape Pendant Slider...Total Diamond weight of Pendant = approx 0.20ct...Color: H..Clarity:  P1..Size of Pendant:  13mm long x 10mm wide.,,14KDP099,Each,,,,,,Order Quantity,Order Quantity,DIVYA,Divya,DJP2329Rose_Gold,0.0000,,,1285.4900,1079.8100,3599.3800,,1285.4900,1221.2200,1156.9400,,,,,1285.4900,,,,1.000,,,0.0000,,,False,False,No,Diamond Pendants,,,,,,,,,,No,No,No,Yes,Yes,Each,No
14KEN103,14K YG Citrine Drop Earring,,14KEN103,Each,,,,,,Order Quantity,Order Quantity,HUNGNGAI,HUNGNGAI,106014050,,,,1152.9900,968.5200,3228.3800,,1152.9900,1095.3400,1037.7000,,,,,1152.9900,,,,555.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
14KER6073T,"14k 3T Triple Oval Hoop Earrings 17 x 13mm, Square Tube 1.65mm Wide","14k Three Tone Triple Oval Hoop Earrings 17 x 13mm, Square Tube 1.65mm Wide - ER607 | ER6073T",14KER6073T,Each,,,,,,Order Quantity,Order Quantity,LOTUS,Lotus,ATP 2406004-0004,133.3570,,,281.4200,236.3900,787.9800,,281.4200,267.3500,253.2800,,,,,281.4200,,2.250,,555.000,20.000,,252.9560,2.400,,False,False,No,Hoops (No Stones),,,,,,,,,,No,No,No,Yes,Yes,Each,No
14KEY108,14k YG Tear Drop Greek Eye Charm,,14KEY108,Each,,,,,,Order Quantity,Order Quantity,UNKNOWN,Unknown,,0.0000,,,69.8100,58.6400,195.4800,,69.8100,66.3200,62.8300,,,,,69.8100,,,,555.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
14KRB01645CM,"14k YG 3.85mm Faceted Balls Paperclip Rosary Bracelet 1.65mm wide . 16mm engraved disk, 45CM. 5.5cm drop with Allah pendant 15x17mm","14k YG 3.85mm Faceted Balls Paperclip Rosary Bracelet 1.65mm wide . 16mm engraved disk, 45CM. 5.5cm drop with Allah pendant 15x17mm - RB016",14KRB01645CM,Each,,,,,,Order Quantity,Order Quantity,LOTUS,Lotus,KVB SL 2509002-0001_YG,709.6290,,,1556.6700,1307.6000,4358.6700,,1556.6700,1478.8300,1401.0000,,,,,477.7800,,7.650,,555.000,20.000,,1008.9290,2.700,0 Labour charged in first invoice - estimated high labour 2.7 per gram,False,True,No,Rosary Chains,,,,,,,,,,No,No,No,Yes,Yes,Each,No
