Product List as of 17/06/2026,,,,,,,,,,
Product Code,Supplier Name,Product Description,Created On,Default Sell Price,Bin Location,Allocated,On Hand,Available,Base Unit,On Purchase
9KDR678SIZEV,D.N. Jewels,"9k 2T Diamond Crossover Ring 9.5mm wide, 38D=0.36ct. Size V",11/06/2026,"1,230.00",,1.0000,0.0000,-1,Each,1
18KC561-1,Cavinato Dino SRL,18k YG Italian Round Medallion Pendant Madonna 17mm with bigger bail  to run through 18k YG Rope Chain,11/06/2026,630.00,,1.0000,0.0000,-1,Weight,0
18KROP7060CM,Divya,NEW - 18k YG Solid Diamond Cut Rope Chain 3.8mm wide 60m . Approx 28.50g,04/06/2026,222.11,,114.0000,0.0000,-114,Weight,114
18KROP7055CM,Divya,NEW - 18k YG Solid Diamond Cut Rope Chain 3.8mm wide 55m . Approx 26.15g,04/06/2026,222.11,,26.1500,0.0000,-26.15,Weight,78.45
18KROP7050CM,Divya,NEW - 18k YG Solid Diamond Cut Rope Chain 3.8mm wide 50cm . Approx 23.75g,04/06/2026,222.11,,0.0000,0.0000,0,Weight,47.5
18KROP7045CM,Divya,NEW - 18k YG Solid Diamond Cut Rope Chain 3.8mm wide 45cm . Approx 21.4g,04/06/2026,222.11,,0.0000,0.0000,0,Weight,42.75
18KROP7020CM,Divya,NEW - 18k YG Solid Diamond Cut Rope Bracelet 3.8mm wide 20cm . Approx 9.5g,04/06/2026,222.11,,0.0000,0.0000,0,Weight,28.5
18KCR641-1,Inah Co Ltd - 9k CZ Huggies,NEW - 18k YG Large Solid Fancy edged Orthodox Cross Pendant 25mm x 17mm,03/06/2026,0.00,,1.0000,0.0000,-1,Each,3
9KCH371RU19.5CM,Divya,"NEW - 9k YG Solid Oval Link Ruby Bracelet 1.4mm Wide 19.5cm . Bezel Set with 5Ru=0.35ct, O-Rings at 16.5 & 18cm.",02/06/2026,0.00,,1.0000,0.0000,-1,Each,3
9KBELY050H24CM,,"9k YG Belcher Chain 2.8mm wide, with hollow heart charm, 24cm. Approx 2.70g",02/06/2026,117.67,BELY050H,0.0000,2.7000,2.7,Weight,0
9KBR36345CM,Divya,NEW - 9k YG Hollow Infinity Round Oval Belcher Fancy Chain 7.5mm wide 45cm,01/06/2026,0.00,,0.0000,0.0000,0,Each,4
9KLDBT522W18CM,Divya,New_9k WG Approx. 5ct - 5.5ct Lab Diamond Crown Set Tennis Bracelet 18cm,01/06/2026,0.00,,0.0000,0.0000,0,Each,1
9KLDR101YSETSIZEP,Divya,NEW - 9k YG Lab Diamond Oval Halo Ring Set. Total Weight 47D Approx. 3.73ct IGI Certified Size P,27/05/2026,"1,809.44",,1.0000,0.0000,-1,Each,2
18KLDP792,Divya,New_18k WG Diamond Cross 17mm x 13mm Pnd 11 LAB DIA = 0.55ct. Approx. 0.95g,26/05/2026,0.00,,0.0000,0.0000,0,Each,3
18KLDP692,Divya,New_18k YG Diamond Cross 17mm x 13mm Pnd 11 LAB DIA = 0.55ct. Approx. 0.95g,26/05/2026,0.00,,0.0000,0.0000,0,Each,3
9KLDP792,Divya,New_9k WG Diamond Cross 17mm x 13mm Pnd 11 LAB DIA = 0.55ct. Approx. 0.95g,26/05/2026,0.00,,0.0000,0.0000,0,Each,5
9KLDP692,Divya,New_9k YG Diamond Cross 17mm x 13mm Pnd 11 LAB DIA = 0.55ct. Approx. 0.95g,26/05/2026,0.00,,0.0000,0.0000,0,Each,5
9KLDBT52418CM,Divya,"New_9k Yellow Gold Approx. 5ct - 5.5ct Mismatch lab-diamond tennis bracelet (oval, pear, round) 18cm",25/05/2026,0.00,,0.0000,0.0000,0,Each,2
9KLDBT25318CM,Divya,New_9k Yellow Gold Approx. 2.5-3ct Pear 3-Claw Set Tennis Bracelet 18cm,25/05/2026,0.00,,0.0000,0.0000,0,Each,2
18KLDBT52218CM,Divya,New_18k YG Approx. 5ct - 5.5ct Crown Set Tennis Bracelet 18cm,25/05/2026,0.00,,0.0000,0.0000,0,Each,1
9KLDBT25218CM,Divya,New_9k YG Approx. 2.2ct - 2.5ct Crown Set Tennis Bracelet 18cm,25/05/2026,0.00,,0.0000,0.0000,0,Each,2
9KCH3712T45CM,Divya,"9k Yellow Gold Solid Oval Link Diamond Necklace, 1.4mm wide, 45cm length, featuring 9k White Gold bezel-set diamonds (10D = 0.50ct), with O-rings positioned at 42cm and 43.5cm. 9k Yellow Gold Parrot Clasp.",25/05/2026,"1,480.00",,1.0000,0.0000,-1,Each,1
9KLDR102WSIZEM,Divya,9k WG Lab Diamond Rectangular Brilliant Halo Engagement Ring. Total Weight 35D Approx. 4.07ct IGI Certified Size M,19/05/2026,"1,694.74",,0.0000,0.0000,0,Each,2
9KLDR102WWBSIZEM,Divya,9k WG Lab Diamond Wedder. 15D=0.23ct Size M,19/05/2026,325.00,,0.0000,1.0000,1,Each,0
9KDH578,Divya,TBC - 9k YG Natural Diamond Oval Huggie Earring. 14mm x 9mm (1.5mm Diamond),15/05/2026,389.00,,1.0000,0.0000,-1,Each,5
9KDH572,Divya,TBC - 9k YG Natural Diamond Oval Huggie Earring. 17mm x 7.3mm (2.5mm),15/05/2026,483.33,,1.0000,0.0000,-1,Each,5
9KBFOH5W-52X44MM,Divya,9K WG Diamond Oval Hinged Bangle 5mm Wide. 52x44mm internal diameter. 5D = 0.30ct G/SI,14/05/2026,"3,189.87",BFOH5,0.0000,1.0000,1,Each,0
925GD030B45CM,Divya,"925 Solid Curb Chain 1mm wide, 45cm with bolt ring. Approx. 1.49g",14/05/2026,14.39,GD030,0.0000,1.6000,1.6,Weight,0
925GD030P45CM,Divya,"925 Solid Curb Chain 1mm wide, 45cm with parrot clasp. Approx. 1.77g",14/05/2026,14.39,GD030,0.0000,1.8000,1.8,Weight,0
925GD030L45CM,Divya,"925 Solid Curb Chain 1mm wide, 45cm with lobster clasp. Approx. 1.71g",14/05/2026,14.39,GD030,0.0000,1.7000,1.7,Weight,0
NAP-S1050,"Napco Precision Instruments Co., Ltd",NAPCO S1050 Series Gold Tester (including Weighing Balance & Mini Printer),11/05/2026,"13,900.00",,0.0000,0.0000,0,Each,0
YEH-SHERLOCK,Sherlock Holmes Detect Ltd,Yehuda Sherlock AI Lab-Grown Diamond Detector with Phone Included. And International Freight. Subscription fee of US$12.50 per month.,11/05/2026,"10,690.00",,0.0000,3.0000,3,Each,0
9KDH677RHS,D.N. Jewels,"9k YG Split Diamond Huggie - Right Hand Side earring Only with Marquise Feature 10mm wide, 38D=0.245ct. Meas. 12mm Inner Diameter",08/05/2026,794.44,,0.0000,0.0000,0,Each,0.5
9KER206Y20,Lotus,9k YG Round Hoop Earrings 20mm Diameter. Square Tube with Textured Sides 2mm,05/05/2026,373.33,ER206,0.0000,16.0000,16,Each,0
9KDR124SIZEN,Divya,9k YG Dress Ring Set With Natural Diamonds 49D = 0.50ct (G/SI) Size N.,30/04/2026,"1,777.78",DR124,1.0000,1.0000,0,Each,0
9KCH471RU19.5CM,Divya,"9k WG Solid Oval Link Ruby Bracelet 1.4mm Wide 19.5cm . Bezel Set with 5Ru = 0.35ct, O-Rings at 16.5 & 18cm.",29/04/2026,502.22,CH371RU,0.0000,2.0000,2,Each,0
9KTFL1G-AJ45W,Lotus,9k WG Diamond Cut Trace Chain 1.1mm Wide with Letter G (6.5x6mm) 45cm with Adjustable Finding,27/04/2026,281.19,,0.0000,0.0000,0,Each,5
9KTFL1G-AJ19W,Lotus,9k WG Diamond Cut Trace Chain 1.1mm Wide with Letter G (6.5x6mm) 19cm with Adjustable Finding,27/04/2026,187.78,,0.0000,0.0000,0,Each,5
YEH-WATSON,Sherlock Holmes Detect Ltd,Yehuda Watson AI Lab-Grown Diamond Detector with Phone Included. And International Freight. Subscription fee of US$12.50 per month.,22/04/2026,"4,890.00",,1.0000,8.0000,7,Each,0
NAP-S9500,"Napco Precision Instruments Co., Ltd",Napco S9500 Series Gold Tester (including Weighing Balance & Mini Printer),22/04/2026,"11,900.00",,10.0000,1.0000,-9,Each,0
9KER548-1,Inah Co Ltd - 9k CZ Huggies,9k YG Pearl Oval Huggie Earring. 16mm x 10mm (10mm FWP),20/04/2026,331.11,,0.0000,0.0000,0,Each,5
9KLDR107RUSIZEP,Divya,9k YG Lab Ruby and Lab Diamond Princess Diana Ring 12D=0.42ct 1RU=1.52ct Size P,17/04/2026,553.52,LDR107,0.0000,1.0000,1,Each,0
9KLDP103WEM45CM,Divya,New_9K WG 40DC Oval Link Chain with Lab Emerald and Lab Diamond Princess Diana Pendant. 12D = 0.42ct 1EM = 1.2ct. Chain 45cm with O-Ring at 42cm,17/04/2026,523.13,LDP103,0.0000,0.0000,0,Each,3
