Sales Invoice Enquiry as of 17/06/2026,,,,,
Transaction No.,Completed Date,Due Date,Customer Code,Customer Name,Total
001-01339,02/07/2024,01/08/2024,S530,SC- Warwick Watchmakers & Jewellers,"1,076.44"
001-01340,07/05/2025,06/06/2025,TJB001,The Jewellery Box,154.17
003-00467,26/06/2024,26/07/2024,I015A,IJC- Robert Cliff Master Jewellers,"1,117.33"
003-00468,19/07/2024,19/07/2024,MJ776,Minas Jewellers,"1,021.00"
10100 - 10105,17/06/2024,17/07/2024,SCJ001,Simon Curwood Jewellers,436.25
10101,17/06/2024,17/07/2024,SCJ001,Simon Curwood Jewellers,"1,260.23"
10277 - 10281,24/06/2024,24/07/2024,SCJ001,Simon Curwood Jewellers,754.28
10279,24/06/2024,24/07/2024,SCJ001,Simon Curwood Jewellers,"2,127.56"
10438 - 10445,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,480.12
10438 - 10445/1,11/11/2024,11/12/2024,SCJ001,Simon Curwood Jewellers,509.04
10439 - 10453,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,871.19
10439 - 10453/1,11/11/2024,11/12/2024,SCJ001,Simon Curwood Jewellers,509.04
10440 - 10451,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,856.76
10440 - 10451/1,11/11/2024,11/12/2024,SCJ001,Simon Curwood Jewellers,678.72
10441 - 10450,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,480.12
10441 - 10450/1,11/11/2024,11/12/2024,SCJ001,Simon Curwood Jewellers,509.04
10442,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,"2,267.19"
10447 - 10448,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,961.17
10447 - 10448/1,11/11/2024,11/12/2024,SCJ001,Simon Curwood Jewellers,339.36
10576 - 10578,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,862.39
10579 - 10581,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,530.61
10582,10/07/2024,09/08/2024,SCJ001,Simon Curwood Jewellers,920.46
10582/1,11/11/2024,11/12/2024,SCJ001,Simon Curwood Jewellers,169.68
10582/2,13/12/2024,09/01/2025,SCJ001,Simon Curwood Jewellers,302.46
10811 - 10814,23/07/2024,22/08/2024,SCJ001,Simon Curwood Jewellers,"1,145.46"
10815,23/07/2024,22/08/2024,SCJ001,Simon Curwood Jewellers,"1,542.95"
